Disease,Temperature (°C),Humidity (%),Rainfall (mm),Cloud Cover (%),Wind Speed (km/h),Leaf Wetness (hrs),Risk Label
Late Blight,15.6,96.4,2.4,75.1,7.1,7.5,High Risk
Late Blight,24.3,90.8,13.6,78.4,1.5,10.3,High Risk
Late Blight,21.0,91.6,8.1,75.3,5.8,13.0,High Risk
Late Blight,19.0,99.0,12.6,72.7,6.1,11.9,High Risk
Late Blight,12.3,96.1,5.5,73.6,4.2,12.5,High Risk
Late Blight,12.3,90.1,13.5,83.8,7.4,11.3,High Risk
Late Blight,10.9,91.0,6.4,76.2,9.3,11.5,High Risk
Late Blight,23.0,96.6,1.2,80.9,9.3,12.8,High Risk
Late Blight,19.0,90.1,13.7,85.1,4.5,8.0,High Risk
Late Blight,20.6,91.6,2.3,90.7,1.1,9.9,High Risk
Late Blight,10.3,95.5,5.5,71.2,9.8,7.8,High Risk
Late Blight,24.5,96.9,14.3,94.0,8.4,13.9,High Risk
Late Blight,22.5,96.5,14.3,88.8,1.2,13.6,High Risk
Late Blight,13.2,92.2,9.0,72.5,9.2,6.3,High Risk
Late Blight,12.7,97.1,9.8,96.2,8.7,11.6,High Risk
Late Blight,12.8,92.4,7.3,97.6,5.2,13.4,High Risk
Late Blight,14.6,93.3,5.1,71.8,5.9,7.4,High Risk
Late Blight,17.9,97.5,5.6,78.3,4.0,10.5,High Risk
Late Blight,16.5,96.5,10.4,94.2,0.5,13.3,High Risk
Late Blight,14.4,98.5,11.5,92.4,3.4,6.3,High Risk
Late Blight,19.2,96.6,12.1,75.5,8.0,11.6,High Risk
Late Blight,12.1,95.7,12.1,76.3,0.0,8.4,High Risk
Late Blight,14.4,90.9,2.3,81.1,3.3,13.4,High Risk
Late Blight,15.5,93.7,7.9,84.5,4.0,13.8,High Risk
Late Blight,16.8,92.7,1.8,88.5,5.4,13.6,High Risk
Late Blight,21.8,92.4,8.7,81.1,9.2,9.8,High Risk
Late Blight,13.0,99.7,7.2,83.9,3.5,12.9,High Risk
Late Blight,17.7,93.9,13.4,92.4,3.5,12.8,High Risk
Late Blight,18.9,98.9,5.9,71.1,7.4,8.6,High Risk
Late Blight,10.7,96.3,2.6,77.6,4.5,12.6,High Risk
Late Blight,19.1,97.9,3.0,91.4,2.2,6.3,High Risk
Late Blight,12.6,95.0,11.7,96.9,4.5,10.8,High Risk
Late Blight,11.0,95.8,9.7,85.4,1.4,7.8,High Risk
Late Blight,24.2,94.9,2.4,86.0,1.8,7.0,High Risk
Late Blight,24.5,92.0,2.2,73.2,5.0,6.6,High Risk
Late Blight,22.1,97.2,10.8,83.4,4.2,11.6,High Risk
Late Blight,14.6,92.8,2.0,86.0,9.1,8.7,High Risk
Late Blight,11.5,90.2,12.5,77.3,3.6,11.8,High Risk
Late Blight,20.3,96.5,10.9,78.1,5.8,6.5,High Risk
Late Blight,16.6,91.8,2.1,81.3,6.3,8.5,High Risk
Late Blight,11.8,99.4,2.2,70.6,0.1,10.3,High Risk
Late Blight,17.4,99.5,14.8,79.7,6.6,12.3,High Risk
Late Blight,10.5,99.1,6.2,76.3,1.8,8.6,High Risk
Late Blight,23.6,93.7,6.2,79.8,9.6,11.0,High Risk
Late Blight,13.9,90.2,12.4,73.6,1.5,13.1,High Risk
